U+5BBF|sù(60) xiǔ(15)
U+5BC2|jì(64)
U+5BC4|jì(101)
U+5BC6|mì(481)
U+5BC7|kòu(19)
U+5BCC|fù(314)
U+5BD2|hán(145)
U+5BD3|yù(11)
U+5BDE|mò(35)
U+5BDF|chá(288)
U+5BE1|guǎ(28)
U+5BE6|shí(2729) shi(200)
U+5BE7|níng(13) nìng(9)
U+5BE9|shěn(58)
U+5BEB|xiě(1171)
U+5BEC|kuān(185)
U+5BF6|bǎo(270)
U+5BF8|cùn(63) cun(29)
U+5BF9|duì(5013)
U+5BFB|xún(127) xín(14)
U+5BFC|dǎo(1403)
U+5BFF|shòu(20)
U+5C01|fēng(400)
U+5C04|shè(315)
U+5C06|jiāng(1194) jiàng(42)
U+5C07|jiāng(1194) jiàng(42)
U+5C08|zhuān(602)
U+5C0A|zūn(122)
U+5C0B|xún(127) xín(14)
U+5C0D|duì(5013)
U+5C0E|dǎo(1403)
U+5C0F|xiǎo(5435)
U+5C11|shǎo(1187) shao(362) shào(323)
U+5C14|ěr(26)
U+5C16|jiān(168)
U+5C18|chén(81)
U+5C1A|shàng(64) shang(20)
U+5C1D|cháng(38)
U+5C24|yóu(110)
U+5C31|jiù(11223)
U+5C38|shī(14)
U+5C3A|chǐ(124)
U+5C3D|jǐn(212) jìn(166)
U+5C3E|wěi(169)
U+5C3F|niào(16)
U+5C40|jú(505)
U+5C41|pì(48)
U+5C42|céng(488)
U+5C45|jū(184)
U+5C46|jiè(70)
U+5C48|qū(37) qu(27)
U+5C49|ti(17)
U+5C4A|jiè(70)
U+5C4B|wū(774)
U+5C4E|shǐ(14)
U+5C4F|píng(10)
U+5C51|xiè(10)
U+5C55|zhǎn(1433) zhan(16)
U+5C5C|ti(17)
U+5C5E|shǔ(369)
U+5C60|tú(15)
U+5C64|céng(488)
U+5C6C|shǔ(369)
U+5C71|shān(1704)
U+5C79|yì(18)
U+5C7F|yǔ(30)
U+5C81|suì(519)
U+5C82|qǐ(51)
U+5C96|qū(13)
U+5C97|gǎng(59) gāng(11)
U+5C9B|dǎo(190)
U+5CA1|gāng(37)
U+5CA9|yán(70)
U+5CAD|lǐng(70)
U+5CB8|àn(343)
U+5CE1|xiá(97)
U+5CE6|luán(13)
U+5CE8|é(12)
U+5CED|qiào(12)
U+5CF0|fēng(94)
U+5CF6|dǎo(190)
U+5CFB|jùn(12)
U+5CFD|xiá(97)
U+5D07|chóng(55)
U+5D0E|qí(13)
U+5D16|yá(43)
U+5D17|gǎng(59) gāng(11)
U+5D29|bēng(19)
U+5D2D|zhǎn(34)
U+5D3D|zǎi(10)
U+5D4C|qiàn(17)
U+5D84|zhǎn(34)
U+5D87|qū(13)
U+5DBA|lǐng(70)
U+5DBC|yǔ(30)
U+5DCD|wēi(12)
U+5DD2|luán(13)
U+5DDE|zhōu(30)
U+5DE1|xún(12)
U+5DE2|cháo(28)
U+5DE5|gōng(5185)
U+5DE6|zuǒ(546)
U+5DE7|qiǎo(147)
U+5DE8|jù(332)
U+5DE9|gǒng(125)
U+5DEE|chà(241) chā(60) chāi(26)
U+5DF1|jǐ(2585)
U+5DF2|yǐ(2107)
U+5DF4|ba(207) bā(14)
U+5DF7|xiàng(37)
U+5DFE|jīn(86)
U+5E01|bì(58)
U+5E02|shì(690)
U+5E03|bù(744)
U+5E05|shuài(11)
U+5E06|fān(22)
U+5E08|shī(1142)
U+5E0C|xī(321)
U+5E10|zhàng(172)
U+5E15|pà(13)
U+5E18|lián(53)
U+5E1A|zhou(13)
U+5E1C|zhì(51)
U+5E1D|dì(606)
U+5E25|shuài(11)
U+5E26|dài(1348)
U+5E2B|shī(1142)
U+5E2D|xí(804)
U+5E2E|bāng(598)
U+5E33|zhàng(172)
U+5E36|dài(1348)
U+5E38|cháng(1760)
U+5E3D|mào(188)
U+5E45|fú(122)
U+5E55|mù(137)
U+5E5F|zhì(51)
U+5E63|bì(58)
U+5E6B|bāng(598)
U+5E72|gàn(1464) gān(482)
U+5E73|píng(1484)
U+5E74|nián(5553)
U+5E76|bìng(1420)
U+5E78|xìng(257)
U+5E7B|huàn(62)
U+5E7C|yòu(66)
U+5E7E|jǐ(2512)
U+5E7F|guǎng(628)
U+5E84|zhuāng(337)
U+5E86|qìng(51)
U+5E8A|chuáng(379)
U+5E8F|xù(131)
U+5E93|kù(91)
U+5E94|yīng(1045) yìng(400) ying(213)
U+5E95|dǐ(788)
U+5E97|diàn(300)
U+5E99|miào(55)
U+5E9C|fǔ(432)
U+5E9E|páng(19)
U+5E9F|fèi(111)
U+5EA6|dù(1505) du(331)
U+5EA7|zuò(396)
U+5EAB|kù(91)
U+5EAD|tíng(137)
U+5EB7|kāng(78)
U+5EB8|yōng(9)
U+5EC1|cè(10)
U+5EC2|xiāng(18)
